facility_name,district_id
SHEMA,15
Gatebe,25
Nyakigando,25
Hunga,25
Musenyi,25
Ndama,25
Nyendo,25
Prison Nyagatare,25
Rurenge,25
Mimuri,25
Muhambo,25
Ntoma,25
Nyabwishongwezi,25
Nyagahita,25
Nyagatare,25
Nyagatare HD,25
Rukomo,25
Karangazi,25
Rwempasha,25
Tabagwe,25
Nyarurema,25
Matimba,25
Katabagemu,25
Bugaragara,25
Cyabayaga,25
Cyondo,25
Kabuga,8
Kagitumba,25
Mbuga,8
Jenda (NYAMAGABE),8
Cyanika (NYAMAGABE),8
Nyarusiza,8
Kigeme HD,8
Mushubi,8
Kaduha,8
Kitabi,8
Kigeme,8
Kaduha HD,8
Nyamagabe,8
Nyarwungo,8
Rugege,8
Musebeya,8
KIBUMBWE,8
Kavumu,8
Ngara,8
UWINKINGI,8
MUGANO,8
Shaba,8
Prison Gikongoro,8
Prison Gasaka,8
Bugarama,8
Mugera,18
Kibogora HD,18
Kibogora,18
Kibingo,18
Muyange,18
Mwezi,18
Bushenge,18
Karengera,18
Karambi,18
Bushenge HD,18
Hanika (NYAMASHEKE),18
Kamonyi,18
Mukoma,18
Gatare,18
Gisakura,18
Yove,18
Ruheru,18
Rangiro,18
Nyamasheke,18
MAHEMBE,18
Ngange,18
Mucubira,4
Busoro,4
Cyaratsi,4
Gatagara,4
Hanika (Nyanza),4
Kirambi,4
Mweya,4
Ntyazo,4
Kibilizi,4
Hanika (NYANZA),4
Gahombo,4
Nyarusange (NYANZA),4
Nyanza HD,4
Nyamure,4
Prison Nyanza,4
Nyanza,4
Ruyenzi,4
Nyamiyaga,4
Prison Mpanga,4
Rugarama,1
PCK/Gitega,1
TRAC Clinic,1
Muhima HD,1
Butamwa,1
Biryogo,1
CHK/CHUK,1
Cor-Unum,1
Gitega,1
Kabusunzu,1
Muhima,1
Mwendo (NYARUGENGE),1
Croix du Sud,1
CMedicoSocial,1
Kibeho,6
Maraba (NYARUGURU),6
Muganza,6
Munini (NYARUGURU),6
Munini HD,6
Nyabimata,6
Nyamyumba,6
Nyantanga,6
Ruheru,6
Ruramba,6
Runyombyi,6
Kabilizi,6
Ngoma,6
Cyahinda,6
Kivu,6
Coko,6
Murara,14
Nyundo,14
Prison Gisenyi,14
Mudende,14
Kabari (RUBAVU),14
Busasamana,14
Byahi,14
Gacuba II,14
Gisenyi,14
Gisenyi HD,14
Karambo,14
Kigufi,14
Muyunzwe,9
Muremure,9
Byimana,9
Gishweru,9
Gitwe,9
Gitwe HD,9
Karambi,9
Kigoma,9
Kinazi,9
Kizibere,9
Mukoma,9
Nyarurama,9
Ruhango,9
Mbuye,9
Mwendo (Ruhango),9
Muremera,9
Kabuga (RUGANGO),9
Buyoga,19
Mushongi,19
Marembo,19
Kisaro,19
Kajevuba,19
Kinihira,19
Kiyanza,19
Masoro,19
Murambi,19
Muyanza,19
Remera-Mbogo,19
Rukozo,19
Rulindo,19
Rutonde,19
Rutongo HD,19
Rwahi,19
Shyorongi,19
Tare,19
Tumba,19
Giheke,17
Gihundwe,17
Nkungu,17
Bweyeye,17
Nkombo,17
Nyabitimbo,17
Rusizi,17
Mibilizi,17
Bugarama,17
Mushaka,17
Cimerwa,17
Gihundwe HD,17
Mashesha,17
Mibilizi HD,17
Islamic,17
Prison Cyangugu,17
Nkanka,17
Rutsiro,13
Kivumu,13
Mukura,13
Murunda,13
Murunda HD,13
Musasa,13
Kinihira,13
Nyabirasi,13
Kibingo (Rutsiro),13
Mushubati,13
Kinunu,13
Biruyi,13
Bitenga,13
Crete Congo Nil,13
Cyimbili,13
Kabona,13
Karumbi,13
Kayove,13
Gahengeri,24
Fumbwe,24
AVEGA RWAMAGANA,24
DUFASHANYE,24
LA CONFIANCE,24
PRISON Nsinda,24
Murambi (RWAMAGANA),24
Ruhunda,24
Murehe,24
Gishari/ Police,24
Karenge,24
Munyaga,24
Musha,24
Muyumbu,24
Nyagasambu,24
Nyakaliro,24
Rubona,24
Rwamagana,24
Rwamagana HD,24
Nzige,24
